[06/17/22 18:13:44] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 18:58:09] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 19:07:55] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 20:10:55] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 20:41:12] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 20:44:25] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 20:45:46] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 20:59:02] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 21:21:03] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 21:23:36] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 22:28:59] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 22:41:06] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 22:43:04] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 22:46:16] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 23:15:55] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/17/22 23:28:44] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 01:50:16] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 01:52:16] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 01:53:12] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 01:54:11] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 02:15:36] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 04:26:35] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/18/22 09:40:06] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
